src_course_id	src_chapter_id	relation	tgt_course_id	tgt_chapter_id	href
4452741	4740937	references	4302126	0	https://openclassrooms.com/courses/decouvrez-la-programmation-orientee-objet-avec-python
4452741	4740938	references	4525266	4928001	https://openclassrooms.com/courses/nettoyez-et-decrivez-votre-jeu-de-donnees/decouvrez-les-statistiques-vocabulaire-et-tour-dhorizon-1
4452741	5558996	references	4449026	0	https://openclassrooms.com/courses/initiez-vous-a-lalgebre-relationnelle-avec-le-langage-sql
4452741	5558996	references	4525256	0	https://openclassrooms.com/courses/initiez-vous-au-langage-de-statistiques-r
4452741	5558996	references	4262331	0	https://openclassrooms.com/courses/apprenez-a-programmer-en-python/les-fichiers-2#r-232331
4452741	5558996	references	4525266	4726171	https://openclassrooms.com/courses/nettoyez-et-decrivez-votre-jeu-de-donnees/telechargez-les-donnees
4452741	5574866	references	4525266	4928121	https://openclassrooms.com/fr/courses/4525266-decrivez-et-nettoyez-votre-jeu-de-donnees/4928121-traitez-les-valeurs-manquantes-les-outliers-et-les-doublons
4452741	5559346	references	4449026	4568716	https://openclassrooms.com/courses/initiez-vous-a-lalgebre-relationnelle-avec-le-langage-sql/decouvrez-la-projection-et-la-restriction
4452741	5559346	references	4449026	4568756	https://openclassrooms.com/courses/initiez-vous-a-lalgebre-relationnelle-avec-le-langage-sql/decouvrez-les-operateurs-ensemblistes
4452741	5559346	references	4449026	4568761	https://openclassrooms.com/courses/initiez-vous-a-lalgebre-relationnelle-avec-le-langage-sql/effectuez-un-produit-cartesien
4452741	5559346	references	4449026	4568771	https://openclassrooms.com/courses/initiez-vous-a-lalgebre-relationnelle-avec-le-langage-sql/liez-des-relations-grace-aux-jointures
4452741	5559346	references	4449026	4568776	https://openclassrooms.com/courses/initiez-vous-a-lalgebre-relationnelle-avec-le-langage-sql/noubliez-pas-lagregation
4452741	5559346	references	4449026	4568781	https://openclassrooms.com/courses/initiez-vous-a-lalgebre-relationnelle-avec-le-langage-sql/ne-perdez-pas-de-vue-vos-cles
4452741	5559346	references	4449026	4504461	https://openclassrooms.com/courses/initiez-vous-a-lalgebre-relationnelle-avec-le-langage-sql/utilisez-les-tables-dassociation
4452741	5559346	references	4449026	0	https://openclassrooms.com/courses/initiez-vous-a-lalgebre-relationnelle-avec-le-langage-sql/liez-des-relations-grace-aux-jointures#r-4569277
4452741	5559346	references	4449026	4536126	https://openclassrooms.com/courses/initiez-vous-a-lalgebre-relationnelle-avec-le-langage-sql/agregez-vos-donnees-grace-au-group-by
4462426	4474691	requires	4462426	0	https://openclassrooms.com/fr/courses/4462426/parts/4474691/Lien%20sur%20le%20guid%20elasticsearch
4462426	4462476	references	4467481	0	https://openclassrooms.com/courses/creez-votre-data-lake
4462426	4474616	references	4462426	0	https://openclassrooms.com/courses/maitrisez-les-bases-de-donnees-nosql/pourquoi-pas-le-oriente-documents#/id/r-4509088
4462426	4474616	references	4462426	0	https://openclassrooms.com/courses/4462426/4462476#/id/r-4499524
4462426	4474701	references	4451251	0	https://openclassrooms.com/courses/gerez-des-flux-de-donnees-temps-reel
4525361	0	requires	4425066	4525776	https://openclassrooms.com/fr/courses/4425066-concevez-un-site-avec-flask/4525776-installez-flask
4525361	0	requires	1603881	0	https://openclassrooms.com/fr/courses/1603881-apprenez-a-creer-votre-site-web-avec-html5-et-css3
4525361	0	requires	6175841	0	https://openclassrooms.com/fr/courses/6175841-apprenez-a-programmer-avec-javascript
4525361	5728796	references	4525266	4742171	https://openclassrooms.com/fr/courses/4525266-decrivez-et-nettoyez-votre-jeu-de-donnees/4742171-representez-la-distribution-empirique-dune-variable
4525361	5728796	references	4525266	4725620	https://openclassrooms.com/fr/courses/4525266-decrivez-et-nettoyez-votre-jeu-de-donnees/4725620-entrez-dans-le-monde-de-l-analyse-bivariee
4525361	5728911	references	4449026	4568771	https://openclassrooms.com/fr/courses/4449026-initiez-vous-a-lalgebre-relationnelle-avec-le-langage-sql/4568771-liez-des-relations-grace-aux-jointures
4525361	5728911	references	4449026	0	https://openclassrooms.com/fr/courses/4449026-initiez-vous-a-lalgebre-relationnelle-avec-le-langage-sql
4525361	5741176	references	4011851	0	https://openclassrooms.com/fr/courses/4011851-initiez-vous-au-machine-learning
4525361	5980056	references	4449026	4568776	https://openclassrooms.com/fr/courses/4449026-initiez-vous-a-lalgebre-relationnelle-avec-le-langage-sql/4568776-noubliez-pas-lagregation
4525361	5753196	references	4525266	4730346	https://openclassrooms.com/fr/courses/4525266-decrivez-et-nettoyez-votre-jeu-de-donnees/4730346-comprenez-les-mesures-de-dispersion#r-4738406
4525361	5753196	references	4525266	4742171	https://openclassrooms.com/fr/courses/4525266-decrivez-et-nettoyez-votre-jeu-de-donnees/4742171-representez-la-distribution-empirique-dune-variable
4525361	5774796	references	4262331	4262506	https://openclassrooms.com/fr/courses/4262331-demarrez-votre-projet-avec-python/4262506-installez-python
4525361	5774796	references	4425066	4525776	https://openclassrooms.com/fr/courses/4425066-concevez-un-site-avec-flask/4525776-installez-flask
